2023-05-17 17:05:470 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 17:05:264 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> link text: Desktops]
2023-05-17 17:05:307 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-17 17:05:01 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 17:05:378 INFO  HomePage :79 - Select £Pound Sterling from [[[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //ul[@class = 'dropdown-menu']/li]]
2023-05-17 17:05:949 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> link text: Desktops]
2023-05-17 17:05:983 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-17 17:05:516 INFO  DesktopPage :61 - Select Name (Z - A) to sort by [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> id: input-sort]
2023-05-17 17:05:530 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a]]
2023-05-17 17:05:630 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (bddc9fd1831d0c9a56bc7bc73e65bd06)] -> xpath: //h4/a]]
2023-05-17 17:05:333 INFO  HomePage :79 - Select £Pound Sterling from [[[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //ul[@class = 'dropdown-menu']/li]]
2023-05-17 17:05:120 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 17:05:459 INFO  DesktopPage :61 - Select Name (Z - A) to sort by [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> id: input-sort]
2023-05-17 17:05:479 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a]]
2023-05-17 17:05:603 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a]]
2023-05-17 17:05:16 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 17:05:95 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> link text: Desktops]
2023-05-17 17:05:108 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-17 17:05:501 INFO  HomePage :79 - Select £Pound Sterling from [[[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //ul[@class = 'dropdown-menu']/li]]
2023-05-17 17:05:872 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> link text: Desktops]
